"EventDate","StreetName","lat","long","X","Y","Vomit","HumanFouling","blood","Urine"
"2012-05-07 00:00:00","STRAND","51.5124906","-0.1159893","530834","180966","NO","Yes","NO","NO"
"2013-02-07 00:00:00","STRAND","51.5124906","-0.1159893","530834","180966","Yes","NO","NO","NO"
"2014-01-26 00:00:00","STRAND","51.5124906","-0.1159893","530834","180966","Yes","NO","NO","NO"
"2013-10-24 00:00:00","STRAND","51.5124906","-0.1159893","530834","180966","NO","Yes","NO","NO"
"2012-07-27 00:00:00","STRAND","51.5124906","-0.1159893","530834","180966","NO","NO","NO","Yes"
"2013-11-03 00:00:00","STRAND","51.5124906","-0.1159893","530834","180966","Yes","NO","NO","NO"
"2014-01-21 00:00:00","STRAND","51.5124906","-0.1159893","530834","180966","Yes","NO","NO","NO"
"2012-08-06 00:00:00","STRAND","51.5124906","-0.1159893","530834","180966","NO","Yes","NO","NO"
"2013-02-18 00:00:00","STRAND","51.5124906","-0.1159893","530834","180966","NO","NO","NO","Yes"
"2013-02-18 00:00:00","STRAND","51.5124906","-0.1159893","530834","180966","NO","NO","NO","Yes"
"2013-07-15 00:00:00","STRAND","51.5124906","-0.1159893","530834","180966","NO","Yes","NO","NO"
"2013-10-18 00:00:00","STRAND","51.5124906","-0.1159893","530834","180966","NO","Yes","NO","NO"
"2012-12-21 00:00:00","STRAND","51.5124906","-0.1159893","530834","180966","Yes","NO","NO","NO"
"2013-12-19 00:00:00","STRAND","51.5124906","-0.1159893","530834","180966","Yes","NO","NO","NO"
"2012-09-03 00:00:00","STRAND","51.5124906","-0.1159893","530834","180966","NO","NO","NO","Yes"
"2013-07-10 00:00:00","STRAND","51.5124906","-0.1159893","530834","180966","NO","NO","NO","Yes"
"2013-07-12 00:00:00","STRAND","51.5124906","-0.1159893","530834","180966","NO","NO","NO","Yes"
"2014-01-20 00:00:00","STRAND","51.5124906","-0.1159893","530834","180966","Yes","NO","NO","NO"
"2013-01-12 00:00:00","BULL INN COURT","51.5100779","-0.1225596","530385","180686","NO","Yes","NO","NO"
"2013-01-14 00:00:00","BULL INN COURT","51.5100779","-0.1225596","530385","180686","NO","Yes","NO","NO"
"2013-01-22 00:00:00","BULL INN COURT","51.5100779","-0.1225596","530385","180686","NO","Yes","NO","NO"
"2013-01-16 00:00:00","BULL INN COURT","51.5100779","-0.1225596","530385","180686","NO","Yes","NO","NO"
"2013-01-17 00:00:00","BULL INN COURT","51.5100779","-0.1225596","530385","180686","NO","Yes","NO","NO"
"2013-04-30 00:00:00","BULL INN COURT","51.5100779","-0.1225596","530385","180686","NO","Yes","NO","NO"
"2012-09-18 00:00:00","BULL INN COURT","51.5100779","-0.1225596","530385","180686","NO","NO","NO","Yes"
